sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
294 , 2023-07-05 10:21:07.109665 , 0 , 0 , 34 , 53
295 , 2023-07-05 10:21:11.200719 , 0 , 0 , 34 , 53
296 , 2023-07-05 10:21:15.881692 , 0 , 1 , 34 , 54
297 , 2023-07-05 10:21:19.953597 , 0 , 0 , 34 , 54
298 , 2023-07-05 10:21:24.047435 , 0 , 0 , 34 , 54
299 , 2023-07-05 10:21:28.132350 , 0 , 2 , 34 , 56
300 , 2023-07-05 10:21:32.218206 , 0 , 1 , 34 , 57
301 , 2023-07-05 10:21:36.318100 , 1 , 0 , 35 , 57
302 , 2023-07-05 10:21:40.426846 , 1 , 0 , 36 , 57
303 , 2023-07-05 10:21:44.504057 , 0 , 0 , 36 , 57
304 , 2023-07-05 10:21:48.629047 , 0 , 0 , 36 , 57
305 , 2023-07-05 10:21:52.793577 , 0 , 0 , 36 , 57
306 , 2023-07-05 10:21:56.940734 , 0 , 0 , 36 , 57
307 , 2023-07-05 10:22:01.081523 , 0 , 0 , 36 , 57
308 , 2023-07-05 10:22:05.172946 , 1 , 0 , 37 , 57
309 , 2023-07-05 10:22:09.292549 , 0 , 2 , 37 , 59
310 , 2023-07-05 10:22:13.407762 , 0 , 0 , 37 , 59
311 , 2023-07-05 10:22:17.550363 , 0 , 0 , 37 , 59
312 , 2023-07-05 10:22:21.733263 , 0 , 0 , 37 , 59
313 , 2023-07-05 10:22:25.893757 , 0 , 0 , 37 , 59
314 , 2023-07-05 10:22:31.622379 , 0 , 0 , 37 , 59
315 , 2023-07-05 10:22:35.825330 , 0 , 0 , 37 , 59
316 , 2023-07-05 10:22:39.975529 , 0 , 1 , 37 , 60
317 , 2023-07-05 10:22:44.169240 , 0 , 1 , 37 , 61
318 , 2023-07-05 10:22:48.340024 , 0 , 0 , 37 , 61
319 , 2023-07-05 10:22:52.533732 , 0 , 0 , 37 , 61
320 , 2023-07-05 10:22:56.771410 , 0 , 0 , 37 , 61
321 , 2023-07-05 10:23:00.946544 , 0 , 0 , 37 , 61
322 , 2023-07-05 10:23:05.156302 , 1 , 0 , 38 , 61
323 , 2023-07-05 10:23:09.331806 , 2 , 0 , 40 , 61
324 , 2023-07-05 10:23:13.482749 , 0 , 0 , 40 , 61
325 , 2023-07-05 10:23:17.576485 , 0 , 0 , 40 , 61
326 , 2023-07-05 10:23:23.248631 , 0 , 0 , 40 , 61
327 , 2023-07-05 10:23:27.283084 , 0 , 1 , 40 , 62
328 , 2023-07-05 10:23:31.365715 , 0 , 0 , 40 , 62
329 , 2023-07-05 10:23:35.446827 , 0 , 0 , 40 , 62
330 , 2023-07-05 10:23:39.539511 , 0 , 0 , 40 , 62
331 , 2023-07-05 10:23:43.662162 , 0 , 1 , 40 , 63
332 , 2023-07-05 10:23:47.772503 , 0 , 0 , 40 , 63
333 , 2023-07-05 10:23:51.883650 , 0 , 0 , 40 , 63
334 , 2023-07-05 10:23:55.974830 , 0 , 0 , 40 , 63
335 , 2023-07-05 10:24:00.056187 , 0 , 0 , 40 , 63
336 , 2023-07-05 10:24:04.080251 , 0 , 0 , 40 , 63
337 , 2023-07-05 10:24:08.184592 , 0 , 0 , 40 , 63
338 , 2023-07-05 10:24:12.935923 , 0 , 0 , 40 , 63
339 , 2023-07-05 10:24:17.117624 , 0 , 0 , 40 , 63
340 , 2023-07-05 10:24:21.212514 , 0 , 0 , 40 , 63
341 , 2023-07-05 10:24:25.319442 , 0 , 0 , 40 , 63
342 , 2023-07-05 10:24:29.424561 , 0 , 2 , 40 , 65
343 , 2023-07-05 10:24:34.904338 , 0 , 1 , 40 , 66
344 , 2023-07-05 10:24:39.062223 , 0 , 1 , 40 , 67
345 , 2023-07-05 10:24:43.228447 , 0 , 0 , 40 , 67
346 , 2023-07-05 10:24:47.398465 , 0 , 1 , 40 , 68
347 , 2023-07-05 10:24:51.578233 , 1 , 0 , 41 , 68
348 , 2023-07-05 10:24:55.734933 , 0 , 1 , 41 , 69
349 , 2023-07-05 10:25:00.488772 , 1 , 0 , 42 , 69
350 , 2023-07-05 10:25:05.706070 , 1 , 0 , 43 , 69
351 , 2023-07-05 10:25:09.767496 , 0 , 0 , 43 , 69
352 , 2023-07-05 10:25:13.862555 , 2 , 1 , 45 , 70
353 , 2023-07-05 10:25:17.919974 , 0 , 1 , 45 , 71
354 , 2023-07-05 10:25:22.007242 , 0 , 0 , 45 , 71
355 , 2023-07-05 10:25:26.682947 , 0 , 0 , 45 , 71
356 , 2023-07-05 10:25:30.738507 , 0 , 0 , 45 , 71
357 , 2023-07-05 10:25:34.823041 , 0 , 0 , 45 , 71
358 , 2023-07-05 10:25:38.908712 , 1 , 0 , 46 , 71
359 , 2023-07-05 10:25:42.926928 , 0 , 0 , 46 , 71
360 , 2023-07-05 10:25:46.940228 , 0 , 0 , 46 , 71
361 , 2023-07-05 10:25:50.944980 , 0 , 0 , 46 , 71
362 , 2023-07-05 10:25:54.984141 , 0 , 0 , 46 , 71
363 , 2023-07-05 10:25:59.019897 , 0 , 0 , 46 , 71
364 , 2023-07-05 10:26:03.051801 , 0 , 0 , 46 , 71
365 , 2023-07-05 10:26:07.147579 , 0 , 0 , 46 , 71
366 , 2023-07-05 10:26:11.205113 , 0 , 0 , 46 , 71
367 , 2023-07-05 10:26:15.881277 , 1 , 0 , 47 , 71
368 , 2023-07-05 10:26:19.968065 , 1 , 1 , 48 , 72
369 , 2023-07-05 10:26:24.060499 , 0 , 0 , 48 , 72
370 , 2023-07-05 10:26:28.147987 , 0 , 0 , 48 , 72
371 , 2023-07-05 10:26:32.286347 , 0 , 0 , 48 , 72
